Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
Engineering College (Abu Road) Project,Social and Commercial Infrastructure,Education,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of Chartered institute of technology at Abu road in Sirohi district.,10.0 Acres,State,300,13-Dec-2018,"Directorate of Technical Education, Rajasthan",Gyan Raman Charitable Trust,Not Available,21-Jul-2007,Not Available,Not Available,Not Available,31-Mar-2011,Not Available,31-Mar-2011,20-Jul-2032,Not Applicable,Not Available,,0.00,16.40,Not Available,16.40,Not Available
Five Star Hotel at Guwahati,Social and Commercial Infrastructure,Tourism,Assam,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,Govt of Assam has Leased an area of 15 bighas to the lesse for the development of 5 start hotel at Khanpara,125.0 Rooms,State,720,13-Dec-2018,Government of Assam,The Indian Hotels Company Limited,Not Available,06-Oct-2008,Not Available,Not Available,06-Oct-2012,Not Available,06-Oct-2012,Not Available,06-Oct-2072,Not Applicable,Not Available,,0.00,31.08,Not Available,Not Available,Source: pppinindia website Concession Agreement
Gandhidham-Palanpur Railway Project,Transport,"Railway track, tunnel, viaducts, bridges",Gujarat,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Port Connectivity by Broad Guage to the main Western Railway line & Decongestion of existing line (301 Kms broad-gauge line),301.0 KM (Kilometer),Centre,384,13-Dec-2018,Ministry of Railways,Kutch Railway Company Ltd.,Not Available,08-Nov-2005,Not Available,Not Available,01-Dec-2006,Not Available,01-Dec-2006,01-Jul-2006,07-Nov-2037,Not Applicable,Not Available,,0.00,500.00,Not Available,Not Available,Not Available
Mega Food Park (Murshidabad) Project,Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",West Bengal,Operation and Maintenance Stage,Lease,"The project involved setting up of mega food park project in Murshidabad district. The park has the following core facilities: Warehouse (8000 MT), Cold storage (5000 MT), Potato cold storage (10000 MT), IQF of 1.5 TPH and Deep Freeze of 3000 MT & Packing Building",82.0 Acres,Centre,396,13-Dec-2018,Ministry of Food Processing Industries,Jangipur Bengal Mega Food Park,Not Available,16-Mar-2010,14-Jun-2012,Not Available,30-Sep-2014,19-Aug-2016,30-Sep-2014,19-Aug-2016,15-Mar-2043,Not Applicable,Not Available,,45.00,132.71,"1,583.18",132.71,Not Available
Setting up of 110 MW Chuzachen hydel power unit in East Sikkim,Energy,Renewable energy (grid),Sikkim,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),The project involved setting up of Chuzachen hydel power unit in East Sikkim.,110.0 MW (Mega Watt),State,420,13-Dec-2018,Sikkim Power Development Corporation Limited,Gati Infrastructures Limited,Highest premium,14-Nov-2003,06-Feb-2007,06-Feb-2007,25-Mar-2009,31-Mar-2013,25-Mar-2009,01-Jun-2013,13-Nov-2038,Not Applicable,Not Available,,0.00,448.00,Not Available,"1,188.57",Not Available
Technical & Engineering College (Kota Road) Project,Social and Commercial Infrastructure,Education,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of Rajasthan institute of engineering & technology college at Kota road in Chittorgarh district.,10.0 Acres,State,300,13-Dec-2018,"Directorate of Technical Education, Rajasthan",Chandrawati Education Society,Not Available,21-Jul-2007,Not Available,Not Available,Not Available,31-Mar-2011,Not Available,31-Mar-2011,20-Jul-2032,Not Applicable,Not Available,,0.00,16.40,Not Available,16.40,Not Available
Women Polytechnic College (Jalore) Project,Social and Commercial Infrastructure,Education,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of Bhadariya Mateshwari polytechnic college for women in Jalore district.,5.0 Acres,State,300,13-Dec-2018,"Directorate of Technical Education, Rajasthan",Rural Welfare Trust,Not Available,16-Nov-2007,Not Available,Not Available,Not Available,31-Mar-2018,Not Available,31-Mar-2018,15-Nov-2032,Not Applicable,Not Available,,2.30,5.49,Not Available,Not Available,Not Available
225 MW combined cylce gas turbine power project in Uttarakhand,Energy,Electricity generation (grid),Uttarakhand,Operation and Maintenance Stage,Build-Own-Operate (BOO),Setting up of 225 MW combined cylce gas turbine power project in Uttarakhand by Beta Infratech Private Limited,225.0 MW (Mega Watt),State,Not Available,17-Dec-2018,Not Available,Soma Enterprise Ltd,Not Available,Not Available,01-Oct-2011,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Available,0.00,Not Available,Not Available,"1,380.00","Financial Closure Date captured from PPIAF, rest of the information captured from Beta infrastructure wbsite , 14-11-2018"
Development of Polytechnic at Rahon,Social and Commercial Infrastructure,Education,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"Polytechnic campus at Rahon and Nanowal, Ludhiana",Not Available,State,Not Available,17-Dec-2018,"Department of Technical Education and Industrial Training, Punjab",Rudranee Infrastructure Limited-Patwari Electricals (JV),Not Available,Not Available,Not Available,Not Available,Not Available,31-May-2009,Not Available,31-May-2009,Not Available,Not Applicable,Not Available,,0.00,16.00,10.00,Not Available,Not Available
Implementation of 237 TPD solid waste management system at Haridwar,Water Sanitation,Solid waste management,Uttarakhand,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involved development of solid waste management system for Haridwar town, involving improved collection and transportation, treatment through compoting and development of sanitary landfill.",237.0 TPD (Tonne per day),State,180,17-Dec-2018,Nagar Nigam Haridwar,KRL Waste Management Company Haridwar Private Limited,Not Available,22-Oct-2012,Not Available,Not Available,31-Mar-2016,31-Mar-2017,31-Mar-2016,31-Mar-2017,22-Oct-2027,Not Applicable,Not Available,Project Development Grant,16.71,18.56,Not Available,18.56,"(Source :- Environment Officer, Nagar Nigam Haridwar ), 13 October 2017"
Road Upgradation (Jhansi-Lalitpur NS-1/UP-3) Project,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involves rehabilitation and upgradation of four laning of Jhansi-Lalitpur section from 0 km to 49.79 km under NHDP Phase II (NS-1/BOT/UP-2) on Annuity basis.,49.7 KM (Kilometer),Centre,240,17-Dec-2018,National Highways Authority of India (NHAI),Gayatri-IDFC Consortium-Indian,Annuity,Not Available,Not Available,01-Mar-2007,01-Sep-2009,30-Jun-2010,01-Sep-2009,30-Jun-2010,Not Available,Not Applicable,Not Available,,0.00,355.00,Not Available,355.00,Zaidun Leeng - Artefact (JV)-Malaysian - Indian
Two laning of Alwar-Sikandra section in length of 81.0 Km,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved two laning with paved shoulder of Alwar to Sikandra section in Alwar district under Mega Highway Project - Phase I.,81.0 KM (Kilometer),State,384,17-Dec-2018,"Public Works Department, Rajasthan",Road Infrstructure Development Company of Rajasthan,Not Available,07-Aug-2005,17-Nov-2005,17-Jan-2006,17-Jan-2008,31-Aug-2008,17-Jan-2008,31-Aug-2008,06-Aug-2037,Not Applicable,07-Feb-2038,,0.00,128.10,Not Available,128.10,Not Available
Two laning of Jhalawar to Jhalawar road in length of 31 Km,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved two laning with hard shoulder of Jhalawar to Jhalawar road under Mega Highways Project Phase-II.,31.0 KM (Kilometer),State,384,17-Dec-2018,"Public Works Department, Rajasthan",Road Infrstructure Development Company of Rajasthan,Not Available,24-Apr-2008,Not Available,05-Jan-2011,Not Available,31-Aug-2012,Not Available,31-Aug-2012,23-Apr-2040,Not Applicable,26-Jan-2043,,0.00,79.73,Not Available,79.73,Not Available
Two laning of Lalsot-Kota section in length of 195.0 Km,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved two laning with paved shoulder of Lalsot to Kota section under Mega Highway Project - Phase I.,195.0 KM (Kilometer),State,384,17-Dec-2018,"Public Works Department, Rajasthan",Road Infrstructure Development Company of Rajasthan,Not Available,07-Aug-2005,17-Nov-2005,18-Jan-2006,18-Jan-2008,15-Dec-2008,18-Jan-2008,15-Dec-2008,06-Aug-2037,Not Applicable,23-Aug-2038,,0.00,303.70,Not Available,303.70,Not Available
Two laning of Phalodi-Ramji Ki Gol section in length of 292.0 Km,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved two laning with paved shoulder of Phalodi to Ramji Ki Gol section in Jodhpur district under Mega Highway Project - Phase I.,292.0 KM (Kilometer),State,384,17-Dec-2018,"Public Works Department, Rajasthan",Road Infrstructure Development Company of Rajasthan,Not Available,07-Aug-2005,17-Nov-2005,17-Jan-2006,17-Jan-2008,28-Dec-2007,17-Jan-2008,28-Dec-2007,06-Aug-2037,Not Applicable,07-Feb-2038,,0.00,386.30,Not Available,386.30,Not Available
"Widening of 2- 6 lanes divided carriageway including rehabilitation of 2 lanes Jaipur-Kishangarh section of NH8,Rajasthan",Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Rehabilitation of existing two-lane carriageway from km.273/500 to km.363/885 on NH-8 and widening it to six-lanes.,90.38 KM (Kilometer),Centre,240,17-Dec-2018,National Highways Authority of India (NHAI),GVK Jaipur-Kishangarh Expressway Limited,Concession Duration,08-May-2002,Not Available,01-Apr-2003,01-Sep-2005,01-Apr-2005,01-Sep-2005,01-Apr-2005,17-Mar-2023,Not Applicable,Not Available,Not Available,211.00,644.00,615.00,615.00,Not Available
Women Polytechnic College (Dausa) Project,Social and Commercial Infrastructure,Education,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of Shri Jawahar women polytechnic college in Dausa district.,5.0 Acres,State,300,17-Dec-2018,"Directorate of Technical Education, Rajasthan",Jawahar Shikshan & Prashikshan Sansthan,Not Available,30-Jun-2008,Not Available,Not Available,Not Available,31-Mar-2018,Not Available,31-Mar-2018,29-Jun-2033,Not Applicable,Not Available,,2.71,5.49,Not Available,5.49,Not Available
Karcham Wangtoo- Abdullapur Transmission Line,Energy,Electricity transmission,Himachal Pradesh,Operation and Maintenance Stage,Build-Own-Operate (BOO),Implementation of  400 kV D/C (Quad) Karcham Wangtoo- Abdullapur TL associated with 1000 MW Karcham Wangtoo HEP Project in Kannaur District in Himachal Pradesh,223.0 CKM (Circuit Kilo Meter),Centre,Not Available,20-Dec-2018,Power Grid Corpn. of India Ltd.,Jaypee Powergrid Limited,Not Available,22-Feb-2007,01-Jun-2008,Not Available,15-Jun-2011,06-Mar-2012,Not Available,01-Apr-2012,Not Available,Not Applicable,Not Available,Not Available,0.00,"1,015.00",Not Available,"1,003.00",Sanjay Gupta (AGM-Corporate Planning-Power Grid Corporation of India Limited)
Kishangarh Gulabpura NH 79 Project ROB,Transport,Roads and bridges,Maharashtra,Completed,Not Available,Kishangarh Gulabpura NH 79 Project Railway over bridge,Not Available,Centre,48,28-Jan-2019,National Highways Authority of India (NHAI),Not Available,Not Available,27-Nov-1998,31-Jan-1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.00,Not Available,Not Available,16.66,"Financial Closure Date captured from PPIAF, rest of the information captured from  Ministry of Finance website, 15-11-2018"
Ulundurpet - Padalur (Pkg - VI-B),Transport,Roads and bridges,Tamil Nadu,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Four laning of Ulundurpet to Padalur NH 45 Package IV of length 93.89 KM.,93.89 KM (Kilometer),Centre,240,28-Jan-2019,National Highways Authority of India (NHAI),M/s. TrichyTollway Private Limited,Not Available,Not Available,Not Available,27-Dec-2006,05-Jun-2009,Not Available,Not Available,05-Jun-2009,26-Dec-2026,Not Applicable,Not Available,Not Available,40.00,Not Available,Not Available,748.00,"Data Captured from National Highway Authority of India, website, 16-11-2018"
Bailkhedu - Saraoud,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"Strengthening , Maintaining and Operation of the two laning works of the existing    Bailkhedu - Saraoud 0f 12.69 KM on Built Operate and Transfer (BOT) (Annuity) basis",12.69 KM (Kilometer),State,180,19-Mar-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Concast Dhanetha Road Project Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04-Jun-2014,Not Available,Not Available,Not Applicable,Not Available,Not Available,0.00,24.00,Not Available,Not Available,"Data Captured from India Infrastructure Finance Company Limited website, 15-11-2018"
Road Upgradation Project (Guna-Aron-Sironaj) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involves development of  Guna-Aron-Sironaj road in length of 86.8 km in Vidisha,86.76 KM (Kilometer),State,180,19-Mar-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),M/s Bansal Pathway (Guna-Sironj) Pvt. Ltd. Bhopal,Annuity,10-Feb-2015,23-Nov-2015,23-Nov-2015,22-Nov-2017,11-Dec-2016,Not Available,11-Dec-2016,21-Dec-2029,Not Applicable,Not Available,,0.00,190.62,Not Available,190.62,Not Available
Silwali-Sultanganj-Jaisingh Nagar Sagar,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved development of Silwani - Sultanganj - Sagar Road in Raisen district,76.8 KM (Kilometer),State,180,19-Mar-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),DBL Silwani Sultanganj Tollways Limited,Annuity,08-Sep-2011,27-Feb-2012,27-Feb-2012,07-Sep-2013,25-Mar-2013,07-Sep-2013,25-Mar-2013,07-Sep-2026,Not Applicable,Not Available,,9.49,126.86,Not Available,121.00,Not Available
Suraiya - Padariya - Dhamni - Singori,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"Strengthening , Maintaining and Operation of the two laning works of the existing    Suraiya-SimariyaBadhiyakheda-Padariya-Dhamni-Singori District Road of 13.22 KM on Built Operate and Transfer (BOT) (Annuity) basis",13.22 KM (Kilometer),State,180,19-Mar-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Concast Dhanetha Road Project Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04-Jun-2014,Not Available,Not Available,Not Applicable,Not Available,Not Available,0.00,25.00,Not Available,Not Available,"Data Captured from India Infrastructure Finance Company Limited website, 15-11-2018"
Two laning of Satna-Majhgawan,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Two laning of Satna-Majhgawan of SH-11,74.132 KM (Kilometer),State,300,19-Mar-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s Topworth Tollways (Satna) Private Limited, Mumbai",Not Available,06-May-2010,05-Jan-2011,05-Jan-2011,04-Jan-2013,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,121.78,Not Available,Not Available,Source: MPRDC website as on 17-Nov-2017
Implementation of 70 MLD sewage treatment plant in Jamnagar district,Water Sanitation,"Sewage collection, treatment and disposal system",Gujarat,Operation and Maintenance Stage,Design-Build-Operate-Transfer (DBOT),The project involved implementation of sewage treatment plant at Gandhi Nagar near railway track in Jamnagar district.,70.0 MLD (Millons Liter per day),State,204,27-Mar-2019,Jamnagar Municipal Corporation,Essar Projects Limited,Highest premium,08-Oct-2013,Not Available,Not Available,31-Dec-2015,31-Aug-2016,31-Dec-2015,31-Aug-2016,07-Aug-2028,Not Applicable,Not Available,,0.00,70.00,92.00,78.00,Not Available
Hospital (Fatehgarh Sahib) Project,Social and Commercial Infrastructure,Health Care,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involves construction of mother and child hospital at Pirjain village in Fatehgarh Sahib district.,60.0 Beds,State,600,04-Apr-2019,Punjab Health Systems Corporation,M/S Indus Health Care,Not Available,11-Sep-2014,22-Jan-2015,Not Available,09-Dec-2015,30-Aug-2016,10-Dec-2015,01-Sep-2016,Not Available,Not Applicable,Not Available,,0.00,3.08,Not Available,5.25,Not Available
Development of metro link from Delhi Metro Sikanderpur to NH 8 Gurgaon,Transport,Urban public transport (except rolling stock),Haryana,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of Metro Link at Sikanderpur Metro Station-Gurgaon,5.1 KM (Kilometer),State,1188,11-Apr-2019,Haryana Urban Development Authority,Rapid Metro Rail Gurgaon Ltd.,Revenue Share,09-Dec-2009,Not Available,Not Available,Not Available,14-Nov-2013,Not Available,14-Nov-2013,Not Available,Not Applicable,Not Available,,0.00,"1,088.00",Not Available,"1,088.00",Not Available
Road Upgradation (Gurgaon-Faridabad-Ballabhgarh-Sohna) Project,Transport,Roads and bridges,Haryana,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved upgradation of Gurgaon-Faridabad and Ballabhgarh-Sohna roads.,66.2 KM (Kilometer),State,204,11-Apr-2019,"Public Works Department, Haryana",GF Toll Road Private Limited,Highest premium,31-Jan-2009,31-May-2009,01-Jun-2009,31-May-2011,29-Jun-2012,01-Jun-2011,29-Jun-2012,31-May-2026,Not Applicable,Not Available,,0.00,180.00,Not Available,779.12,Not Available
Dhaneta - Rakhi - Shahajpur,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"Strengthening , Maintaining and Operation of the two laning works of the existing    Dhanetha-Rakhi-Shahajpur of 13.5 KM on Built Operate and Transfer (BOT) (Annuity) basis",13.5 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"Concast Dhanetha Road Project Pvt. Ltd., Kolkata",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04-Jun-2014,Not Available,Not Available,Not Applicable,Not Available,Not Available,0.00,22.00,Not Available,Not Available,"Data Captured from India Infrastructure Finance Company Limited website, 15-11-2018"
Inter laning of Bamkhalfata-Dogawa-Borawa-Sarvardevla in length of 23.7 km,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved inter-laning of Bankhlafata-Kogawa-Borawa-Sarvardevala section in Madhya Pradesh.,23.67 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s DBL Bamkhalfata-Dogawa Tollways Limited, Bhopal",Annuity,28-Jan-2013,03-Oct-2013,Not Available,27-Jan-2015,31-Mar-2015,27-Jan-2015,31-Mar-2015,28-Jan-2028,Not Applicable,Not Available,,3.58,33.63,Not Available,33.60,"(Source :-  Deputy General Manager - Incharge MIS, Madhya Pradesh Road Development Corporation)"
Operation & maintenance of Badwah-Dhamnod road in length of 61.9 Km in Dhar district,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Management Contract (O&M),The project involved operation and maintenance of Badwah-Dhamnod road (SH - 38) in Dhar district.,61.93 KM (Kilometer),State,96,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"AyushajayAgroh Tollways Private Limited, Mhow, Indore",Not Available,14-Sep-2012,Not Available,Not Available,Not Available,Not Available,Not Available,15-Jan-2013,13-Aug-2020,Not Applicable,Not Available,,0.00,18.44,Not Available,71.31,Not Available
Road Upgradation (Dariyapur-Jasaondhi-Maharashtra Border) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Dariapur-Jasaundhi Road upto Maharashtra Border in length of 15.55 km in Bhopal,16.0 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"D P Jain Dariapur Jasondhi (Annuity) Road Projects Private Limited, Nagpur",Annuity,17-Jan-2012,07-Dec-2012,07-Dec-2012,16-Jan-2014,17-Oct-2014,16-Jan-2014,17-Oct-2014,16-Jan-2027,Not Applicable,Not Available,,0.00,21.16,Not Available,21.20,Not Available
Road Upgradation (Intkhedi-Raslakhedi) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Itkhedi-Raslakhedi road in Bhopal.,9.34 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Lateri Expressway Private Limited, New Delhi",Annuity,02-Feb-2013,Not Available,03-Oct-2013,01-Feb-2015,21-Aug-2014,01-Feb-2015,21-Aug-2014,02-Oct-2028,Not Applicable,Not Available,,1.12,11.52,Not Available,11.52,Not Available
Road Upgradation (Jaora-Piplodha-Jalandharkheda-Piploda Sailana) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Jaora-Piplodha - Jalandharkheda and Piploda to Sailana road in Ratlam,42.27 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s DBL Jaora-Sailana Tollways Limitied, Bhopal",Annuity,24-Dec-2012,29-Jun-2013,29-Jun-2013,23-Dec-2014,28-Jun-2014,23-Dec-2014,06-Aug-2014,23-Dec-2027,Not Applicable,Not Available,,5.81,60.03,Not Available,60.00,Not Available
Road Upgradation (Kurawar-Eklera Talen) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Kurawar-Eklera Talen road in Rajgarh.,39.22 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Lateri Expressway Private Limited, New Delhi",Annuity,02-Feb-2013,Not Available,03-Oct-2013,01-Feb-2015,21-Aug-2014,01-Feb-2015,21-Aug-2014,02-Oct-2028,Not Applicable,Not Available,,4.68,49.89,Not Available,49.89,Not Available
Road Upgradation (Lateri Anandpur-Bhagawantpur) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Lateri-Anandpur-Bhagwantpur road in Vidisha.,22.6 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Lateri Expressway Private Limited, New Delhi",Annuity,02-Feb-2013,Not Available,03-Oct-2013,01-Feb-2015,21-Aug-2014,01-Feb-2015,21-Aug-2014,02-Oct-2028,Not Applicable,Not Available,,2.70,24.47,Not Available,24.47,Not Available
Road Upgradation (Mangawan-Baikunthpur) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Mangawar - Bekunthpur road in Rewa.,18.8 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Roads Construction Private Limited, New Delhi",Annuity,23-Mar-2013,20-Jan-2014,Not Available,19-Jan-2016,19-Apr-2016,19-Jan-2016,19-Apr-2016,24-Jul-2021,Not Applicable,Not Available,,0.00,26.29,Not Available,26.29,Not Available
Road Upgradation (Pondi-Maharajpur-Parasmaniya Road) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Poudi - Maharajpur - Parsamaniya road.,25.09 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Roads Construction Private Limited, New Delhi",Annuity,23-Mar-2013,20-Jan-2014,Not Available,19-Jan-2016,19-Apr-2016,19-Jan-2016,19-Apr-2016,23-Mar-2028,Not Applicable,Not Available,,0.00,31.42,Not Available,31.42,Not Available
Road upgradation of Waraseoni-Lalbarra Road in length of 18.30 km in Balaghat.,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved upgradation of Waraseoni-Lalbarra Road in length of 18.30 km in Balaghat.,18.3 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),MBL (MP) Toll Road Company Limited,Highest premium,07-Dec-2011,04-Jun-2012,04-Jun-2012,06-Dec-2013,03-Aug-2015,06-Dec-2013,03-Aug-2015,06-Dec-2026,Not Applicable,Not Available,,0.00,41.57,Not Available,42.51,Not Available
Road Upgradation Project (Bijwad-Kusmaniya-Haran-Deepgaon) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved inter laning of Bijwad-Kusmania-Haran-Deepganj road.,75.62 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s GVR Kantaphod Bijwad Road Project, Private Limited, Chennai",Annuity,16-Jan-2012,07-Jul-2012,07-Jul-2012,15-Jan-2014,31-Mar-2014,15-Jan-2014,31-Mar-2014,15-Jan-2027,Not Applicable,Not Available,,10.86,109.08,Not Available,109.01,Not Available
Road Upgradation Project (Datia-Bhander) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved upgradation of Datia - Bhander Road in length of 29.2 km in Datia,29.17 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"D.P. Jain Datia- Bhander Toll Road Projects Private Limited, Nagpur",Annuity,30-Sep-2011,26-Jun-2012,26-Jun-2012,25-Jun-2014,22-Apr-2014,25-Jun-2014,22-Apr-2014,29-Nov-2026,Not Applicable,Not Available,,3.80,51.71,Not Available,52.80,Not Available
Road Upgradation Project (Rehli-Gorjhamar) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involves inter laning of Rehli-Gorjhamar in length of 18.1 km,18.08 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s Bansal Pathways Private Limited, Bhopal",Annuity,05-Dec-2011,12-Sep-2012,12-Sep-2012,04-Dec-2013,28-Oct-2013,04-Dec-2013,28-Oct-2013,04-Dec-2026,Not Applicable,Not Available,,2.28,28.27,Not Available,28.27,Not Available
Road Upgradation Project (Salsalai-Gulana-Bolai Railway Station Road) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Salsalai - Gulana - Gulai Railway Station Road in length of 19.31 km in Shajapur,19.39 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s D P Jain Ujjain Package (Annuity) Road Projects Private Limited, Nagpur",Not Available,30-Nov-2011,12-Sep-2012,12-Sep-2012,29-Nov-2013,30-Apr-2014,29-Nov-2013,30-Apr-2014,29-Nov-2026,Not Applicable,Not Available,,3.01,31.00,Not Available,31.03,Not Available
